ID,Midterm,Final
1,68.72,74.81
2,68.82,84.05
3,84.73,87.37
4,67.89,79.35
5,72.17,84.16
6,65.19,75.69
7,74.47,86.35
8,67.86,78.35
9,67.92,83.77
10,67.62,92.13
11,92.38,82.66
12,72.72,73.84
13,63.77,82.8
14,69.78,84.33
15,74.3,79.73
16,79.93,80.45
17,80.34,81.94
18,94.88,85.96
19,78.93,77.59
20,74.98,81.39
21,72.16,78.67
22,94.35,93.46
23,77.95,77.06
24,88.41,79.96
25,64.86,63.8
26,53.84,87.66
27,73.86,75.63
28,71.96,76.03
29,71.13,80.78
30,77.88,74.51
31,73.83,85.68
32,85.67,87.23
33,54.88,76.82
34,85.54,88.58
35,77.81,86.16
36,62.05,81.1
37,77.33,93.45
38,76.93,83.91
39,61.22,81.91
40,57.23,73.32
41,69.43,79.91
42,94.78,90.25
43,81.9,83.51
44,70.78,74.98
45,47.15,78.14
46,72.31,71.2
47,65.67,79.17
48,82.88,87.92
49,62.35,78.35
50,58.36,76.88
51,74.2,80.71
52,67.09,78.23
53,78.76,81.7
54,76.53,81.07
55,67.25,81.27
56,76.18,83.37
57,72.43,83.28
58,64.8,78.23
59,85.02,83.51
60,78.95,77.35
61,65.37,82.17
62,79.13,77.6
63,73.28,80.2
64,73.94,77.61
65,70.98,80.99
66,66.35,79.61
67,48.74,79.6
68,70.88,81.46
69,83.26,74.16
70,55.37,78.2
71,79.03,84.82
72,49.6,83.68
73,64.91,77.16
74,61.94,80.53
75,41.13,79.69
76,85.06,79.69
77,60.45,80.9
78,59.92,84.08
79,81.17,77.85
80,67.75,77.14
81,65.73,76.57
82,70.91,80.34
83,65.74,77
84,69.11,78.56
85,80.35,76.64
86,63.33,73.65
87,71.32,81.55
88,82.59,78.11
89,73.66,80.25
90,71.41,80.32
91,85.66,79.88
92,76.5,83.17
93,76.71,77.87
94,71.63,80.37
95,65.02,77.79
96,91.7,79.65
97,95.65,69.54
98,66.02,85.75
99,80.02,84
100,85.19,76.13
