"salary","satisfaction_level","average_monthly_hours"
"low",0.38,157
"medium",0.8,262
"medium",0.11,272
"low",0.72,223
"low",0.37,159
"low",0.41,153
"low",0.1,247
"low",0.92,259
"low",0.89,224
"low",0.42,142
"low",0.45,135
"low",0.11,305
"low",0.84,234
"low",0.41,148
"low",0.36,137
"low",0.38,143
"low",0.45,160
"low",0.78,255
"low",0.45,160
"low",0.76,262
"low",0.11,282
"low",0.38,147
"low",0.09,304
"low",0.46,139
"low",0.4,158
"low",0.89,242
"low",0.82,239
"low",0.4,135
"low",0.41,128
"low",0.38,132
"low",0.09,294
"low",0.45,134
"low",0.4,145
"low",0.45,140
"low",0.84,246
"low",0.1,255
"low",0.38,137
"low",0.45,126
"low",0.11,306
"low",0.41,152
"low",0.87,269
"low",0.45,158
"low",0.4,127
"low",0.1,281
"low",0.09,276
"low",0.84,182
"low",0.4,147
"low",0.57,273
"low",0.4,148
"low",0.43,147
"low",0.13,152
"low",0.44,135
"low",0.38,134
"low",0.39,132
"low",0.1,307
"low",0.37,140
"low",0.11,255
"low",0.1,309
"low",0.38,128
"low",0.85,225
"medium",0.85,226
"medium",0.11,308
"medium",0.1,244
"medium",0.36,132
"medium",0.11,286
"medium",0.81,161
"medium",0.43,153
"medium",0.9,264
"medium",0.76,223
"medium",0.43,135
"medium",0.74,277
"medium",0.09,275
"high",0.45,149
"low",0.09,295
"medium",0.11,277
"medium",0.11,306
"medium",0.1,295
"medium",0.4,137
"low",0.43,157
"low",0.39,142
"low",0.45,140
"low",0.38,151
"low",0.79,139
"low",0.84,249
"low",0.11,291
"low",0.11,305
"low",0.17,232
"low",0.44,132
"low",0.37,130
"low",0.1,291
"low",0.4,130
"low",0.89,246
"low",0.42,143
"low",0.46,129
"low",0.09,255
"low",0.37,155
"low",0.1,265
"low",0.1,279
"low",0.11,284
"medium",0.9,221
"medium",0.38,154
"medium",0.36,147
"medium",0.42,150
"medium",0.09,267
"medium",0.43,158
"medium",0.24,224
"medium",0.91,257
"medium",0.44,148
"medium",0.71,177
"medium",0.4,155
"medium",0.43,144
"high",0.09,289
"low",0.43,160
"medium",0.9,258
"medium",0.84,234
"medium",0.37,137
"medium",0.86,263
"low",0.11,251
"low",0.37,133
"low",0.4,132
"low",0.14,158
"low",0.4,135
"low",0.75,216
"low",0.11,300
"low",0.46,138
"low",0.11,260
"low",0.38,132
"low",0.7,183
"low",0.09,250
"low",0.37,151
"low",0.1,292
"low",0.38,140
"low",0.9,221
"low",0.44,138
"low",0.36,132
"low",0.31,133
"low",0.1,283
"low",0.42,129
"low",0.74,249
"low",0.73,257
"low",0.09,245
"low",0.45,155
"low",0.11,256
"low",0.37,152
"low",0.84,267
"low",0.41,151
"low",0.76,239
"low",0.11,306
"low",0.84,263
"low",0.39,147
"low",0.11,278
"low",0.45,154
"low",0.37,143
"low",0.4,155
"low",0.39,160
"low",0.11,304
"low",0.83,240
"low",0.11,305
"low",0.39,136
"low",0.45,132
"low",0.1,301
"low",0.9,243
"low",0.45,147
"low",0.79,239
"low",0.9,260
"low",0.11,296
"low",0.43,129
"low",0.31,132
"low",0.32,135
"low",0.45,158
"low",0.81,259
"low",0.41,160
"low",0.11,278
"low",0.1,284
"low",0.7,274
"low",0.54,164
"low",0.41,148
"medium",0.38,140
"medium",0.37,127
"medium",0.11,308
"medium",0.4,146
"medium",0.1,261
"medium",0.89,257
"medium",0.11,285
"medium",0.36,141
"medium",0.4,127
"medium",0.09,297
"medium",0.4,143
"medium",0.37,152
"high",0.44,156
"low",0.09,283
"medium",0.92,226
"medium",0.74,232
"medium",0.09,249
"medium",0.89,275
"low",0.09,304
"low",0.27,278
"low",0.1,287
"low",0.1,285
"low",0.77,226
"low",0.9,259
"low",0.39,135
"low",0.76,219
"low",0.1,256
"low",0.87,254
"low",0.38,153
"low",0.77,228
"low",0.78,228
"low",0.44,128
"low",0.38,153
"low",0.43,156
"low",0.39,294
"low",0.88,219
"low",0.45,153
"low",0.4,151
"low",0.36,155
"low",0.36,158
"low",0.9,245
"low",0.43,131
"low",0.89,225
"low",0.1,286
"low",0.37,135
"low",0.37,153
"low",0.87,252
"low",0.4,149
"low",0.9,258
"low",0.37,158
"low",0.44,149
"low",0.85,236
"low",0.78,239
"low",0.42,159
"low",0.92,255
"low",0.11,244
"low",0.42,134
"low",0.48,270
"low",0.83,255
"low",0.4,151
"low",0.43,135
"low",0.43,146
"low",0.1,254
"low",0.1,289
"low",0.37,156
"low",0.38,156
"low",0.4,128
"low",0.89,275
"low",0.45,155
"low",0.37,159
"low",0.46,148
"low",0.87,228
"low",0.11,298
"low",0.79,261
"low",0.79,254
"low",0.19,192
"low",0.87,248
"low",0.6,258
"medium",0.44,156
"medium",0.11,266
"medium",0.42,156
"medium",0.88,232
