ID,econ_hard,sex,age,race,depress,mastery,treat,employ,occp,marital,educ,income,jobseek_se
1,3,1,34.16712189,1,1.727272749,4.677777767,1,1,professionals,married,gradwk,50k+,4.833333492
2,4.670000076,0,26.62465668,1,1,4.866666794,1,1,sales workers,nevmarr,bach,15t24k,5
3,4.329999924,1,37.8520546,1,3,3.775000095,1,1,clerical/kindred,divrcd,somcol,lt15k,4.5
5,4,1,35.02191925,1,2.181818247,4.016666889,1,1,operatives/kindred wrks,nevmarr,somcol,25t39k,4.5
7,5,1,39.33150864,1,1.090909123,4.75,1,1,clerical/kindred,married,somcol,lt15k,5
8,1.330000043,1,31.6109581,1,2.363636255,2.825000048,1,0,clerical/kindred,separtd,highsc,25t39k,2.5
14,5,1,25.61369896,1,1,4.422222137,0,1,clerical/kindred,nevmarr,bach,lt15k,4.666666508
16,1.330000043,1,30.61917877,1,1.636363626,3.738888979,0,0,professionals,nevmarr,gradwk,15t24k,3.666666746
17,3,0,33.34520721,1,1.636363626,3.686111212,1,0,craftsmen/foremen/kindred,separtd,highsc,25t39k,3.333333254
21,4.670000076,1,35.33150864,1,2.400000095,3.780555487,1,1,manegerial,married,somcol,25t39k,4.166666508
22,3.329999924,1,55.10137177,1,1,4.300000191,1,1,laborers/service wrks,married,highsc,15t24k,4.5
24,3,0,27.66849327,1,1.636363626,3.855555534,1,0,professionals,nevmarr,bach,25t39k,3.666666746
26,3,0,24.91506767,1,2.454545498,3.627777815,1,0,sales workers,nevmarr,somcol,lt15k,3.333333254
27,1.669999957,0,29.59178162,1,1.727272749,3.816666603,1,1,craftsmen/foremen/kindred,nevmarr,bach,15t24k,4
28,4,0,28.71506882,1,1,4.233333111,1,1,laborers/service wrks,separtd,highsc,lt15k,4
31,2,1,18.27397346,1,3.181818247,3.861111164,0,1,sales workers,nevmarr,highsc,25t39k,4.833333492
32,3,1,23.31780815,1,1.727272749,3.208333254,0,0,clerical/kindred,nevmarr,somcol,lt15k,2.5
33,2.670000076,1,45.43287659,1,1.545454502,4.199999809,1,1,professionals,separtd,bach,15t24k,5
37,1.330000043,1,42.31232834,1,3.454545498,3.825000048,1,1,clerical/kindred,divrcd,bach,25t39k,4
39,5,1,46.92602921,1,1.181818128,4.766666889,1,1,clerical/kindred,divrcd,somcol,lt15k,5
63,4,1,44.51506805,1,1.363636374,4.400000095,0,1,clerical/kindred,married,somcol,lt15k,4
79,3.329999924,0,43.04657364,1,1,3.74444437,1,0,laborers/service wrks,nevmarr,highsc,50k+,3.333333254
82,3.329999924,1,25.35616493,1,1.090909123,3.822222233,0,0,craftsmen/foremen/kindred,married,somcol,lt15k,3.666666746
87,3.329999924,1,44.76712418,1,1.181818128,4.458333492,1,1,clerical/kindred,married,somcol,15t24k,4
89,5,1,24.97808266,1,2.454545498,3.338888884,1,0,operatives/kindred wrks,nevmarr,somcol,lt15k,2.666666746
97,1,1,29.27945137,1,1.818181872,3.666666746,1,0,professionals,nevmarr,gradwk,25t39k,2.5
100,2,1,27.24931526,1,2,3.325000048,1,0,operatives/kindred wrks,widowed,somcol,lt15k,2.5
103,4,0,37.65205383,1,2.909090996,3.700000048,0,1,laborers/service wrks,married,highsc,15t24k,4
104,2.329999924,1,20.64931488,1,2.181818247,4.5,1,1,clerical/kindred,nevmarr,highsc,lt15k,5
