id,picvocab,flanker,cardsort,picture,reading,listsort
37,75,90,94,87,89,low
42,89,86,83,106,87,low
147,80,68,79,92,89,low
13,84,99,82,79,91,low
27,67,83,67,82,91,low
116,78,105,90,88,84,low
146,75,87,114,94,85,low
180,72,87,87,89,86,low
190,86,97,99,88,83,low
48,78,79,82,90,71,low
51,88,82,72,97,83,low
133,78,97,91,100,92,low
158,86,98,97,82,91,low
193,83,94,92,106,98,low
6,81,88,87,109,81,low
22,84,82,84,88,91,low
23,87,102,101,100,94,low
55,83,89,77,87,86,low
97,78,94,86,79,90,low
100,90,99,102,95,91,low
148,80,82,89,91,87,low
173,81,106,102,94,100,low
2,82,97,101,98,97,low
54,78,93,88,84,93,low
65,77,101,100,109,85,low
81,84,98,96,110,94,low
108,83,94,105,109,99,low
115,81,81,86,76,82,low
166,79,95,97,88,80,low
167,81,75,67,92,80,low
172,85,80,86,103,87,low
191,91,86,90,91,84,low
197,68,81,94,100,86,low
12,87,103,96,94,92,low
19,85,103,103,97,92,low
21,90,99,101,103,89,low
31,76,92,90,93,90,low
32,79,87,82,120,85,low
43,90,89,100,105,96,low
52,79,93,95,103,91,low
56,71,105,95,92,91,low
58,93,98,83,94,89,low
62,88,100,91,87,91,low
66,81,105,96,107,102,low
71,87,96,89,119,96,low
76,76,85,90,103,88,low
80,79,104,99,103,85,low
87,99,92,89,101,90,low
94,83,89,88,84,96,low
107,71,99,98,94,91,low
110,81,102,94,108,88,low
118,81,102,92,97,85,low
130,103,101,104,93,87,low
131,84,99,86,88,86,low
138,77,96,92,96,85,low
153,87,107,99,89,91,low
185,79,72,80,82,88,low
189,82,85,102,99,92,low
195,68,105,92,88,90,low
196,79,91,93,104,86,low
200,71,105,86,79,79,low
34,78,111,102,97,94,mid
36,96,95,90,103,96,mid
38,102,67,87,105,92,mid
74,88,102,99,113,92,mid
75,88,103,99,109,94,mid
78,90,105,100,119,94,mid
79,91,103,99,96,88,mid
82,79,96,101,124,91,mid
103,84,97,103,101,102,mid
119,99,77,89,100,88,mid
126,95,97,98,124,96,mid
128,89,105,105,92,93,mid
157,82,102,102,95,94,mid
160,82,88,98,112,89,mid
168,78,103,98,100,93,mid
183,72,101,102,119,97,mid
194,84,90,97,110,94,mid
1,76,98,94,103,91,mid
3,91,94,94,111,101,mid
11,89,91,76,87,89,mid
15,90,82,96,97,91,mid
18,77,93,95,99,91,mid
26,97,89,76,97,100,mid
28,81,102,87,93,88,mid
29,88,92,91,108,97,mid
50,84,104,92,120,90,mid
64,84,80,80,93,89,mid
88,96,92,93,120,90,mid
91,88,76,86,107,108,mid
92,77,93,93,103,84,mid
98,93,107,96,87,89,mid
99,95,93,86,110,89,mid
114,101,92,78,117,100,mid
120,72,98,82,128,78,mid
121,84,98,105,125,90,mid
123,80,85,86,112,79,mid
127,98,91,85,115,89,mid
134,82,88,90,88,92,mid
135,83,89,89,102,87,mid
137,80,96,100,131,90,mid
142,79,95,97,116,87,mid
143,91,99,93,82,100,mid
145,80,88,64,93,92,mid
150,89,80,90,112,91,mid
151,81,105,96,90,96,mid
156,74,110,92,102,88,mid
163,85,103,102,86,90,mid
175,89,102,97,97,96,mid
181,91,90,94,107,96,mid
186,80,96,97,99,90,mid
198,81,92,90,110,89,mid
9,86,95,93,112,95,mid
30,79,91,101,127,87,mid
33,78,111,100,127,87,mid
35,98,95,92,114,86,mid
39,94,90,96,93,99,mid
61,81,97,91,99,90,mid
70,87,96,104,115,90,mid
73,90,79,78,103,80,mid
95,81,104,116,117,93,mid
102,87,93,97,120,88,mid
129,84,86,78,93,99,mid
154,86,99,99,100,97,mid
161,79,86,100,114,89,mid
164,96,98,89,101,108,mid
169,80,100,104,128,86,mid
174,94,77,92,118,89,mid
182,103,97,102,108,101,mid
10,82,97,101,112,92,high
14,88,98,98,91,89,high
16,86,101,99,104,92,high
17,87,96,101,104,99,high
20,78,93,100,90,92,high
24,79,107,105,107,88,high
25,85,94,95,96,88,high
40,87,111,104,95,102,high
41,93,96,97,118,97,high
45,97,97,112,131,99,high
47,76,104,98,104,79,high
57,90,96,105,101,94,high
59,103,83,78,109,97,high
60,77,90,99,111,87,high
67,81,83,100,124,91,high
68,77,98,88,105,96,high
69,94,102,95,120,91,high
72,76,97,88,102,85,high
77,93,93,93,98,101,high
85,87,82,85,100,92,high
86,87,92,95,95,91,high
96,81,98,97,103,91,high
104,98,101,100,89,102,high
105,79,98,99,109,102,high
111,93,91,86,103,101,high
113,101,96,96,109,97,high
122,109,92,100,79,100,high
124,90,82,73,85,90,high
125,101,95,96,97,95,high
136,77,99,95,117,102,high
141,86,102,98,124,96,high
144,79,98,88,93,89,high
149,85,102,100,95,91,high
155,75,95,89,109,81,high
159,74,96,93,112,83,high
162,89,106,104,96,97,high
176,92,93,94,103,87,high
177,92,94,93,106,96,high
178,88,86,90,121,92,high
179,97,99,98,104,88,high
184,90,92,91,86,96,high
187,89,101,94,107,100,high
188,88,102,94,125,96,high
199,84,109,94,113,88,high
7,85,106,103,109,91,high
8,91,97,91,108,81,high
46,84,97,97,108,88,high
53,90,105,104,100,91,high
83,88,94,100,100,93,high
