,JA,TI,WP,JS,JV
1,4.617392622,4.155153758,1.699029574,2.912253723,2.491111542
2,3.432532136,4.036590167,3.442381265,4.195164635,5.138582647
3,4.100998907,3.289634333,4.337184924,4.430015296,5.46263277
4,2.494589602,4.470300486,4.027376768,3.44031394,3.523750168
5,4.742407316,3.787987281,3.50814884,2.666606495,4.143436616
6,2.672429246,5.456150042,2.87552895,1.657889073,3.638605876
7,5.185656973,3.753352871,4.856991708,3.708976167,4.323299843
8,4.238943981,4.12980002,2.876114899,3.75562529,3.674084267
9,5.130940626,2.334236762,4.053887311,5.451065701,3.759486045
10,2.927151191,5.065876021,3.730039518,2.777454663,3.162734594
11,4.603705532,3.367192276,5.319302683,5.411828575,4.794486299
12,4.525540603,2.439564638,2.849061856,4.405227745,3.776656383
13,2.288548327,4.225704879,4.165211366,4.568826003,4.298343419
14,5.345392033,3.461204241,2.691339533,3.824437389,3.237158655
15,4.659542841,4.509807228,3.569585228,5.430006733,2.548058846
16,4.501681083,3.237974916,4.555972117,5.305394463,3.085051526
17,4.848033176,5.969168286,2.187732051,3.081250262,3.211086722
18,4.081789357,3.024009015,5.107280461,5.635648834,4.328969797
19,4.239338452,3.480167541,4.437625216,2.970469068,3.400547466
20,3.601498519,4.081295898,3.374326322,5.202513468,4.153552523
21,5.716608161,2.462512338,4.456074257,4.871915631,4.930434519
22,4.843243618,3.517332517,3.802847255,4.365661058,3.999435632
23,4.287721215,4.677663938,5.086758509,3.208308322,5.407080262
24,5.536467608,6.832642814,4.732027207,3.617986765,4.413078743
25,5.037443014,3.863978518,3.573779236,3.738780747,4.918118734
26,3.218777048,3.939231466,2.818211184,4.258235004,2.574324307
27,3.812452916,4.0456787,4.587860199,4.137505268,4.480762272
28,3.596548675,3.339439028,4.304922206,4.33706442,4.420493171
29,2.501424752,5.168187363,4.004157781,3.525315111,3.140317865
30,4.830736621,3.161903714,4.768873646,4.843801741,3.899039939
31,3.38727476,4.484327353,5.689333478,5.036385494,5.050843287
32,3.794813318,2.151719012,3.454689846,4.522125421,5.125790785
33,3.883642684,3.562984189,2.920382158,3.813101091,4.021921615
34,4.292374782,3.875449941,2.651503613,3.39102411,4.012992023
35,4.118030327,5.618508346,4.949659815,3.950107382,4.597547129
36,5.373049803,5.235404725,4.959589619,4.183787751,3.712987531
37,1.402469138,5.15493101,2.292050855,1.778708122,2.213709842
38,5.278730237,4.88021312,3.34091526,3.558766503,3.752007952
39,1.757585685,4.69616116,2.869739891,3.235712964,3.30163964
40,5.02716627,3.555822271,2.767629017,5.355670512,4.085350693
41,2.82906309,3.881939175,3.113414593,3.4872317,2.673515255
42,4.986626306,3.736165971,2.389903907,3.398890306,3.354347357
43,4.65433032,3.693623926,4.004369698,4.28875438,5.357998368
44,4.391436027,5.182589937,4.436148236,4.107307114,5.550202338
45,4.592571432,5.179174826,4.653541591,4.184078414,5.372310635
46,5.533530419,3.256630903,5.03469624,4.488483495,3.30749381
47,4.434471341,3.747858518,4.059749392,5.132245634,4.490610817
48,4.712570445,4.376089424,3.921001885,3.777306665,3.185768141
49,3.041846629,5.605326142,3.87747424,2.316896893,2.616947224
50,2.791342135,3.594881391,2.600158581,2.803959682,3.117575744
51,6.299854876,4.558503771,4.392391679,4.793224862,3.973974631
52,4.770887671,3.6545632,6.268590617,4.963655616,6.364780435
53,1.926493737,4.918661968,1,2.008890008,2.074345046
54,4.497534344,3.418364811,3.577273084,5.434007429,3.946450083
55,3.493376546,4.264310221,4.468042454,3.273182876,4.863284557
56,4.471126176,5.458421491,4.333143037,4.029761927,4.380909954
57,4.596047455,2.810970552,4.514676146,4.240573555,4.566962986
58,4.994040272,4.315969593,4.148017817,3.152160957,4.863152004
59,4.700648796,5.239390964,3.956056129,2.487734395,2.712027237
60,4.684129258,4.270384027,4.57477139,3.959333903,2.804089312
61,5.256245173,4.113066018,4.678403985,4.403362803,4.162853281
62,5.036489792,3.690969921,3.584273915,4.265811686,4.151119974
63,3.542987397,3.172771823,3.697138023,3.906007435,4.155761693
64,3.007670493,5.458169584,3.829248153,2.680332476,4.572344117
65,3.994619015,5.24255014,4.44655022,3.877805783,5.503665802
66,3.341669217,3.296832983,3.868982663,3.326181364,2.922081406
67,3.453508556,4.104028866,3.186539931,3.027626571,2.286400997
68,4.838212719,5.323212255,2.829558222,2.81968941,3.054167224
69,5.005320338,4.364683729,3.694220604,3.606809071,3.709070734
70,4.173510981,3.91105926,2.11054318,4.310012167,2.352774881
71,4.325011554,3.774923998,4.250109189,4.077259873,3.577310628
72,4.760562875,3.512207335,2.834461939,5.467683291,5.619213831
73,5.169994461,2.86658276,4.921306133,6.207386541,3.532792732
74,4.846192078,5.732985136,4.571645068,3.024084922,3.737756232
75,2.978959731,4.084600815,4.177638776,4.847750153,3.438358146
76,3.526774939,3.51467564,4.44089439,3.772553674,4.482476583
77,2.571550213,3.966718663,2.553955629,3.734734391,3.872900014
