StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed Consent,Role Clarity 1,Role Clarity 2,Role Clarity 3,Role Clarity 4,Role Clarity 5,Level of Engagement 1,Level of Engagement 2,Level of Engagement 3,Level of Engagement 4,Level of Engagement 5,Level of Engagement 6,Level of Engagement 7,Level of Engagement 8,Attention Check,Level of Engagement 9,Turnover Intention 1,Turnover Intention 2,Turnover Intention 3,Turnover Intention 4,Turnover Intention 5,Office Location,Degree of Burnout 1,Degree of Burnout 2,Degree of Burnout 3,Degree of Burnout 4,Degree of Burnout 5,Degree of Burnout 6,Degree of Burnout 7,Degree of Burnout 8,Degree of Burnout 9,Degree of Burnout 1,Degree of Burnout 2,Degree of Burnout 3,Degree of Burnout 4,Degree of Burnout 5,Degree of Burnout 6,Degree of Burnout 7,Degree of Burnout 8,Degree of Burnout 9,Worker Wellbeing 1,Worker Wellbeing 2,Worker Wellbeing 3,Worker Wellbeing 4,Worker Wellbeing 5,Worker Wellbeing 6,Worker Wellbeing 7,Worker Wellbeing 8,Manager Support 1,Manager Support 2,Manager Support 3,Manager Support 4,Manager Support 5,Manager Support 6,Manager Support 7,Manager Support 8,Manager Support 9,Manager Support 10,Year Born,Gender,Ethnicity,V8_1,V8_2,V8_3,V8_4,V8_5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Anonymous Survey Consent:

By clicking I agree below, you are granting your consent to participate in this study",,,,,,,,,,,,,,What is 4x3,,"Please indicate the extent to which you disagree or agree with the following statement: 

How often have you considered leaving your job?","Please indicate the extent to which you disagree or agree with the following statement: 

How frequently do you look online in search of alternative job opportunities?","Please indicate the extent to which you disagree or agree with the following statement: 

How often do you dream about getting another job that will better suit your personal needs?","Please indicate the extent to which you disagree or agree with the following statement: 

How often do you look forward to another day at work?","Please indicate the extent to which you disagree or agree with the following statement:  

How likely are you to accept another job at the same compensation level should it be offered to you?",Please select your office location from the following options,,,,,,,,,,,,,,,,,,,"Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT","Please indicate the extent to which you disagree or agree with the following statmenet: 

ITEM TEXT",In what year were you born?,What do you identify as? - Selected Choice,What is your ethnicity? - Selected Choice,"For the following items, please indicate your thoughts and feelings about being mentally healthy. Some people think their mental health is unimportant, while some think it is extremely important. We are curious about where you fall on this continuum.



Being mentally healthy is... - Bad:Good","For the following items, please indicate your thoughts and feelings about being mentally healthy. Some people think their mental health is unimportant, while some think it is extremely important. We are curious about where you fall on this continuum.



Being mentally healthy is... - Useless:Useful","For the following items, please indicate your thoughts and feelings about being mentally healthy. Some people think their mental health is unimportant, while some think it is extremely important. We are curious about where you fall on this continuum.



Being mentally healthy is... - Foolish:Wise","For the following items, please indicate your thoughts and feelings about being mentally healthy. Some people think their mental health is unimportant, while some think it is extremely important. We are curious about where you fall on this continuum.



Being mentally healthy is... - Unfavorable:Favorable","For the following items, please indicate your thoughts and feelings about being mentally healthy. Some people think their mental health is unimportant, while some think it is extremely important. We are curious about where you fall on this continuum.



Being mentally healthy is... - Negative:Positive"
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1313947347""}","{""ImportId"":""QID1313947346_6""}","{""ImportId"":""QID1313947346_8""}","{""ImportId"":""QID1313947346_9""}","{""ImportId"":""QID1313947346_10""}","{""ImportId"":""QID1313947346_11""}","{""ImportId"":""QID1313947346_12""}","{""ImportId"":""QID1313947346_13""}","{""ImportId"":""QID1313947379_1""}","{""ImportId"":""QID1313947379_2""}","{""ImportId"":""QID1313947379_3""}","{""ImportId"":""QID1313947379_4""}","{""ImportId"":""QID1313947379_13""}","{""ImportId"":""QID1313947379_6""}","{""ImportId"":""QID1313947379_8""}","{""ImportId"":""QID1313947379_7""}","{""ImportId"":""QID1313947379_9""}","{""ImportId"":""QID1313947379_17""}","{""ImportId"":""QID1313947379_18""}","{""ImportId"":""QID1313947379_28""}","{""ImportId"":""QID1313947379_19""}","{""ImportId"":""QID1313947346_12""}","{""ImportId"":""QID1313947379_20""}","{""ImportId"":""QID1313947379_29""}","{""ImportId"":""QID1313947367_21""}","{""ImportId"":""QID1313947367_22""}","{""ImportId"":""QID1313947367_32""}","{""ImportId"":""QID1313947367_23""}","{""ImportId"":""QID1313947367_24""}","{""ImportId"":""QID1313947367_29""}","{""ImportId"":""QID1313947367_25""}","{""ImportId"":""QID1313947379_20""}","{""ImportId"":""QID1313947379_29""}","{""ImportId"":""QID1313947367_21""}","{""ImportId"":""QID1313947367_22""}","{""ImportId"":""QID1313947367_32""}","{""ImportId"":""QID1313947367_23""}","{""ImportId"":""QID1313947367_24""}","{""ImportId"":""QID1313947367_29""}","{""ImportId"":""QID1313947367_25""}","{""ImportId"":""QID1313947367_26""}","{""ImportId"":""QID1313947367_30""}","{""ImportId"":""QID1313947367_28""}","{""ImportId"":""QID1313947367_31""}","{""ImportId"":""QID1313947331_1""}","{""ImportId"":""QID1313947331_2""}","{""ImportId"":""QID1313947331_3""}","{""ImportId"":""QID1313947331_4""}","{""ImportId"":""QID1313947329_1""}","{""ImportId"":""QID1313947329_2""}","{""ImportId"":""QID1313947329_3""}","{""ImportId"":""QID1313947329_4""}","{""ImportId"":""QID1313947329_5""}","{""ImportId"":""QID1313947375_6""}","{""ImportId"":""QID1313947375_7""}","{""ImportId"":""QID1313947375_8""}","{""ImportId"":""QID1313947375_11""}","{""ImportId"":""QID1313947375_10""}","{""ImportId"":""QID1313947351_TEXT""}","{""ImportId"":""QID1313947352""}","{""ImportId"":""QID1313947353""}","{""ImportId"":""QID1313947434_1""}","{""ImportId"":""QID1313947434_2""}","{""ImportId"":""QID1313947434_3""}","{""ImportId"":""QID1313947434_4""}","{""ImportId"":""QID1313947434_5""}"
6/15/22 20:24,6/15/22 20:25,1,67.103.78.44,100,67,1,6/15/22 20:25,R_1M4zIp05KvzWBop,,,,,33.9687,-118.037,preview,EN,1,slightly disagree,slightly disagree,disagree,slightly disagree,strongly agree,6,1,5,7,4,6,1,2,189,1,6,4,2,4,1,1,2,2,5,6,7,,,,,,,,,,,,,,5,6,6,1,1,5,3,5,2,7,5,4,5,4,3,2,5,6,1987,Male,3,,,,,
6/15/22 20:25,6/15/22 20:26,1,67.103.78.45,100,66,1,6/15/22 20:26,R_3lWhTOCh7MKem4e,,,,,33.9687,-118.037,preview,EN,1,-999,strongly agree,strongly agree,slightly disagree,slightly agree,5,2,4,2,3,6,3,2,21,7,5,4,7,2,5,1,2,6,5,2,2,4,1,4,4,,,,,,,,,,1,3,1,2,2,7,3,2,1,6,6,2,3,4,7,2,7,4,1991,Non-Binary,5,,,,,
6/15/22 20:28,6/15/22 20:29,1,67.103.78.46,100,84,1,6/15/22 20:29,R_2Pid5arQpATpO5A,,,,,33.9687,-118.037,preview,EN,1,agree,agree,strongly agree,strongly agree,disagree,6,1,7,3,3,2,4,3,76,3,1,4,3,1,6,1,5,1,4,7,4,2,7,1,7,,,,,,,,,,6,4,3,4,4,7,6,5,5,7,3,2,4,7,2,5,7,3,1991,Male,4,,,,,
6/15/22 20:30,6/15/22 20:31,1,67.103.78.47,100,63,1,6/15/22 20:31,R_2rZY5ui0Zo60kYq,,,,,33.9687,-118.037,preview,EN,1,,,,,,6,5,2,4,1,2,7,5,12,1,5,1,1,1,2,1,2,7,1,3,5,6,4,1,1,,,,,,,,,,7,2,5,3,4,2,2,4,1,5,3,2,7,4,3,6,1,6,2000,Female,6,,,,,
6/15/22 20:32,6/15/22 20:33,1,67.103.78.48,100,66,1,6/15/22 20:33,R_33xJgWG5lDdJD0y,,,,,33.9687,-118.037,preview,EN,1,slightly disagree,strongly disagree,neutral,neutral,strongly agree,4,6,4,4,7,7,2,1,12,4,1,4,5,6,1,1,4,1,3,3,3,6,5,1,1,,,,,,,,,,7,1,4,3,4,2,4,6,7,2,2,7,3,2,5,2,6,1,1993,Female,2,,,,,
6/15/22 20:56,6/15/22 20:59,1,67.103.78.49,100,178,1,6/15/22 20:59,R_42dpmsXu3kHws4F,,,,,33.9687,-118.037,preview,EN,1,disagree,strongly agree,neutral,agree,strongly agree,6,5,3,4,3,3,5,2,12,7,5,2,4,7,5,1,7,6,7,4,6,1,3,6,3,,,,,,,,,,7,1,6,4,6,1,1,5,6,4,4,2,3,1,4,2,1,7,1983,Non-Binary,3,,,,,
6/15/22 20:58,6/15/22 21:02,1,67.103.78.50,100,246,1,6/15/22 21:03,R_30iTrHEWi7SguII,,,,,34.0528,-117.6648,preview,EN,1,slightly disagree,strongly agree,neutral,slightly agree,strongly disagree,,,,,,,,,12,,1,2,4,7,2,1,6,2,1,5,5,6,1,5,5,,,,,,,,,,2,2,5,4,3,6,1,3,6,2,6,6,5,6,5,3,1,6,1987,Female,1,,,,,
6/15/22 21:04,6/15/22 21:06,1,67.103.78.51,100,97,1,6/15/22 21:06,R_xi1mTGEXdroWlFL,,,,,34.0528,-117.6648,preview,EN,1,strongly agree,agree,strongly agree,disagree,slightly disagree,2,1,4,4,7,3,4,7,12,7,6,1,2,6,1,1,6,1,1,1,2,2,3,7,3,,,,,,,,,,2,1,4,4,4,6,1,5,5,1,7,6,1,3,4,6,2,4,1994,Male,4,,,,,
