ID,sym_1,sym_2,sym_3,sym_4,sym_5,anger_1,anger_2,anger_3,anger_4,anger_5,SSOE_1,SSOE_2,SSOE_3,SSOE_4,SSOE_5,SSOE_6,WPSS_1,WPSS_2,WPSS_3,WPSS_4,WPSS_5,WPSS_6,GWPH_1,GWPH_2,GWPH_3,GWPH_4,GWPH_5,stability,onset,effort
1,3,2,3,1,2,2,2,1,2,4,7,7,7,7,7,7,100,100,100,100,100,100,100,100,80,59,100,1,1,0
2,7,7,7,7,6,7,7,7,6,7,7,4,7,7,7,7,100,100,100,100,100,100,80,80,49,80,49,1,1,1
3,6,5,6,7,5,2,2,3,1,3,2,2,3,5,2,3,40,39,40,83,43,60,89,76,94,90,93,0,1,0
4,7,4,5,3,4,6,4,6,5,7,1,2,2,1,1,2,100,19,70,10,91,60,90,100,100,81,90,1,0,1
5,2,2,2,1,2,7,7,7,7,7,7,7,7,7,7,7,100,100,100,100,100,100,100,90,50,100,100,1,1,0
6,4,7,7,7,4,1,1,1,1,1,7,1,4,7,4,7,100,100,100,100,100,100,80,29,23,29,71,1,1,0
7,4,6,4,4,4,5,4,4,4,5,7,7,7,6,6,6,100,100,100,100,90,100,51,50,51,49,50,0,1,1
8,7,6,6,6,5,2,5,2,2,5,3,3,3,3,1,4,100,100,100,69,100,100,42,61,40,31,41,0,1,0
9,5,6,5,5,3,2,1,2,1,1,6,6,6,7,2,2,92,90,90,100,92,69,50,19,19,69,40,1,0,0
10,2,4,4,2,1,1,2,1,1,2,6,4,6,4,4,4,100,100,100,100,100,100,70,90,50,70,70,0,1,1
11,5,6,6,5,4,4,7,5,1,7,6,6,6,5,5,6,90,90,90,90,91,91,70,19,80,30,19,1,0,1
12,2,2,2,2,2,7,7,7,7,7,2,2,2,2,2,2,100,100,100,100,100,100,100,100,100,100,100,1,1,1
13,4,5,4,4,3,2,6,2,2,4,5,5,5,5,5,5,20,50,50,50,71,58,86,84,73,84,79,1,0,0
14,5,5,4,2,2,5,6,4,5,7,1,1,3,4,3,3,100,100,100,100,100,100,56,61,53,42,54,1,1,1
15,2,2,3,2,4,2,3,2,3,3,6,6,5,5,7,7,100,98,99,100,98,100,100,100,100,99,99,1,1,1
16,6,7,6,5,1,2,2,2,2,4,2,2,2,2,2,2,100,100,100,100,100,100,40,50,50,60,60,0,0,1
